OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2024-01-22T17:48:05.141088,14.32819491,.0024478,74.0398,136.2358,26.1199,334.1181,0,U,22675,999,59889,.91669E-4,.225E-5,0
COSMOS 2251 DEB,1993-036E,2024-01-22T19:41:41.587008,14.32263851,.0015643,74.0371,142.7905,324.1292,155.7223,0,U,33757,999,78117,.84193E-4,.201E-5,0
COSMOS 2251 DEB,1993-036F,2024-01-22T13:57:23.303808,14.43342225,.0023065,74.0323,66.7896,301.0155,182.4391,0,U,33758,999,78317,.13365E-2,.4497E-4,0
COSMOS 2251 DEB,1993-036G,2024-01-22T20:11:51.108000,14.66869493,.0020121,74.0169,279.0754,201.4960,228.3346,0,U,33759,999,78829,.16012E-2,.8954E-4,0
COSMOS 2251 DEB,1993-036H,2024-01-22T16:21:24.609312,14.34838901,.0020515,74.0320,107.1337,12.1767,101.8834,0,U,33760,999,78224,.17621E-3,.475E-5,0
COSMOS 2251 DEB,1993-036J,2024-01-22T13:50:21.183648,14.38837002,.0025661,74.0381,89.1082,337.1795,149.7145,0,U,33761,999,78294,.71075E-3,.2169E-4,0
COSMOS 2251 DEB,1993-036K,2024-01-22T17:29:36.373344,14.33261612,.0015435,74.0421,131.1487,0.8942,114.3284,0,U,33762,999,78160,.88678E-4,.218E-5,0
COSMOS 2251 DEB,1993-036M,2024-01-22T17:08:34.483200,14.36865625,.0025263,74.0344,104.3026,239.5652,238.6141,0,U,33764,999,78236,.62099E-3,.1817E-4,0
COSMOS 2251 DEB,1993-036N,2024-01-22T16:04:29.694432,14.72295635,.0134367,74.0182,114.3635,22.2411,105.5898,0,U,33765,999,79346,.9573E-3,.695E-4,0
COSMOS 2251 DEB,1993-036P,2024-01-23T03:55:24.445632,14.31189600,.0066493,74.1902,303.6075,340.3875,19.4719,0,U,33766,999,77872,.10364E-2,.278E-4,0
COSMOS 2251 DEB,1993-036R,2024-01-22T20:37:22.512576,13.57151507,.0371734,74.0681,252.2853,203.3022,250.2231,0,U,33768,999,73931,.52729E-3,.567E-5,0
COSMOS 2251 DEB,1993-036T,2024-01-22T21:26:17.199168,14.83401485,.0025494,74.0168,191.4898,72.6987,45.9974,0,U,33770,999,79065,.56834E-2,.47201E-3,0
COSMOS 2251 DEB,1993-036U,2024-01-23T03:19:03.063360,14.50594062,.0031487,74.0489,46.6805,263.2448,160.7731,0,U,33779,999,78468,.86981E-3,.3406E-4,0
