OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2024-01-22T21:49:56.943840,14.34234825,.0006329,86.3890,357.4716,319.2364,40.8358,0,U,24946,999,37944,.19632E-3,.57E-5,0
IRIDIUM 33 DEB,1997-051L,2024-01-22T22:03:45.084384,14.40357340,.0008928,86.4041,352.1037,274.1634,85.8545,0,U,33773,999,78407,.5967E-3,.1912E-4,0
IRIDIUM 33 DEB,1997-051N,2024-01-22T21:55:50.845152,14.37659022,.0013095,86.3684,343.0184,282.0817,132.0551,0,U,33775,999,78215,.93917E-3,.2841E-4,0
IRIDIUM 33 DEB,1997-051P,2024-01-22T22:38:30.581664,14.35773273,.0012781,86.4059,9.7669,304.2871,110.9355,0,U,33776,999,78175,.60036E-3,.1756E-4,0
IRIDIUM 33 DEB,1997-051Q,2024-01-22T21:50:39.198624,14.46837514,.0013537,86.3847,332.9626,64.9296,295.3310,0,U,33777,999,78528,.16569E-2,.603E-4,0
IRIDIUM 33 DEB,1997-051T,2024-01-22T22:54:19.212192,14.38306913,.000958,86.3455,325.7699,288.9163,181.2250,0,U,33850,999,78226,.88889E-3,.2724E-4,0
IRIDIUM 33 DEB,1997-051W,2024-01-22T17:02:05.043840,13.94141577,.0220465,86.0009,290.9818,185.9337,249.6538,0,U,33853,999,75714,.12052E-2,.1971E-4,0
IRIDIUM 33 DEB,1997-051X,2024-01-22T20:18:42.465312,15.46276777,.001863,86.1760,153.9703,285.3103,74.6095,0,U,33854,999,79583,.13105E-1,.697646E-2,0
IRIDIUM 33 DEB,1997-051AC,2024-01-22T19:20:17.672640,14.56057210,.003965,86.3368,317.4955,229.8501,129.9232,0,U,33859,999,78332,.33627E-2,.15007E-3,0
IRIDIUM 33 DEB,1997-051AD,2024-01-22T20:53:15.610848,14.52091145,.0012999,86.3913,328.5607,137.1459,276.9718,0,U,33860,999,78670,.20385E-2,.828E-4,0
IRIDIUM 33 DEB,1997-051AF,2024-01-22T22:23:24.984384,14.54201346,.0057659,86.4148,337.7453,261.3688,162.6018,0,U,33862,999,78748,.28964E-2,.12564E-3,0
IRIDIUM 33 DEB,1997-051AH,2024-01-22T13:47:14.885376,14.67251417,.0010176,86.2685,241.4778,26.9123,32.9485,0,U,33864,999,78839,.32995E-2,.18656E-3,0
IRIDIUM 33 DEB,1997-051AK,2024-01-22T19:55:58.028736,14.18706775,.0112561,86.3028,23.3189,203.7360,209.2373,0,U,33866,999,77004,.21949E-2,.4867E-4,0
IRIDIUM 33 DEB,1997-051AL,2024-01-22T19:52:39.364896,14.69329802,.0018826,86.4182,308.1121,333.9092,26.1172,0,U,33867,999,79204,.28053E-2,.16654E-3,0
IRIDIUM 33 DEB,1997-051AN,2024-01-22T21:39:15.934464,15.01261022,.0012868,86.2937,338.3557,229.1278,130.8840,0,U,33869,999,78253,.16077E-1,.2129E-2,0
IRIDIUM 33 DEB,1997-051AP,2024-01-22T23:05:34.987200,14.39331431,.0020214,86.3795,352.2305,309.6393,110.1322,0,U,33870,999,78199,.14225E-2,.4447E-4,0
IRIDIUM 33 DEB,1997-051AS,2024-01-23T02:38:55.676832,14.86928610,.0011824,86.3529,278.1322,282.9708,77.0196,0,U,33873,999,79185,.54045E-2,.48664E-3,0
IRIDIUM 33 DEB,1997-051AT,2024-01-22T19:36:04.658976,14.49911498,.0044776,86.2825,319.3818,127.6334,296.1767,0,U,33874,999,77844,.50772E-2,.19933E-3,0
IRIDIUM 33 DEB,1997-051AU,2024-01-22T15:14:46.965984,15.22704471,.0009534,86.3811,257.5982,348.6794,11.4234,0,U,33875,999,79843,.6142E-2,.145903E-2,0
IRIDIUM 33 DEB,1997-051BA,2024-01-22T13:01:17.793984,14.36040437,.0063158,86.3840,41.6489,300.5260,181.6499,0,U,33881,999,77522,.55053E-2,.16415E-3,0
IRIDIUM 33 DEB,1997-051BD,2024-01-22T19:24:20.625984,14.56129631,.0012702,86.3810,315.9215,158.9255,273.6994,0,U,33884,999,78733,.27377E-2,.12119E-3,0
IRIDIUM 33 DEB,1997-051BF,2024-01-22T22:01:24.960864,14.34486113,.0013944,86.3854,357.0965,350.4869,66.7067,0,U,33886,999,78157,.38871E-3,.1115E-4,0
IRIDIUM 33 DEB,1997-051BG,2024-01-22T18:52:16.430592,14.35933313,.0006279,86.3056,300.2615,358.0258,56.0698,0,U,33887,999,78259,.29259E-3,.868E-5,0
IRIDIUM 33 DEB,1997-051BH,2024-01-22T19:25:14.383200,14.71979825,.0024773,86.3136,308.3570,202.5855,157.4274,0,U,33888,999,78323,.75757E-2,.48048E-3,0
IRIDIUM 33 DEB,1997-051BM,2024-01-22T03:45:19.262016,14.91129662,.0005243,86.3374,272.1699,250.5640,109.5021,0,U,33952,999,79095,.49457E-2,.49359E-3,0
IRIDIUM 33 DEB,1997-051BN,2024-01-22T09:29:50.811936,14.44682691,.0019328,86.3934,350.5489,241.2363,245.8169,0,U,33953,999,78298,.16121E-2,.5618E-4,0
IRIDIUM 33 DEB,1997-051BU,2024-01-22T22:51:24.648768,14.56950696,.0068628,86.3566,359.3918,61.1519,299.6554,0,U,33959,999,77893,.83734E-2,.39022E-3,0
IRIDIUM 33 DEB,1997-051BV,2024-01-23T03:01:52.749408,14.57730665,.000203,86.2673,246.1446,301.1404,179.0592,0,U,33960,999,78748,.18417E-2,.8433E-4,0
