OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z,Cluster,Density
COSMOS 2251,1993-036A,2024-03-14T21:31:51.966336,-7111.098259811706,-779.6595407657542,59.786965035735804,-1,-28.81893690154838
COSMOS 2251 DEB,1993-036E,2024-03-14T21:50:15.684000,-2791.1667727137565,1246.9433771814297,6466.245178364659,0,-27.435452750178655
COSMOS 2251 DEB,1993-036F,2024-03-14T18:05:33.239616,-10.01217105726047,-4064.6858390135885,-5874.198316309849,-1,-28.00111150499917
COSMOS 2251 DEB,1993-036G,2024-03-14T08:58:39.399168,-2887.633166407802,-58.520906965443594,6405.275048807484,1,-27.634856385914617
COSMOS 2251 DEB,1993-036H,2024-03-14T21:23:40.216416,5170.237920671745,-695.8387539306996,4911.655066757265,-1,-27.531677833030045
COSMOS 2251 DEB,1993-036J,2024-03-14T20:17:56.361408,-5064.870408793231,3085.149680344904,-3955.1063369462504,-1,-28.24032990062441
COSMOS 2251 DEB,1993-036K,2024-03-14T22:15:30.023712,-2938.3941034332292,1737.7319272627456,6288.709322053952,0,-27.442787498086346
COSMOS 2251 DEB,1993-036M,2024-03-14T22:03:35.191584,4291.991700448666,-322.6570433883763,5681.179904867628,1,-27.340516184116883
COSMOS 2251 DEB,1993-036N,2024-03-15T05:35:04.868736,-1138.6865281936227,-1584.918176142571,-6682.501206026998,2,-27.53191245206099
COSMOS 2251 DEB,1993-036P,2024-03-14T19:34:50.971008,5514.17336863546,-1587.716839032918,4237.206321477265,3,-27.610640470151022
COSMOS 2251 DEB,1993-036R,2024-03-14T18:06:49.358016,4934.154176915601,-5191.4782775762615,1933.0035117040327,-1,-28.671184964141283
COSMOS 2251 DEB,1993-036T,2024-03-15T04:57:44.152128,-1349.8616097777676,-4071.9847337555248,-5489.592525763007,13,-27.876535362751
COSMOS 2251 DEB,1993-036U,2024-03-15T01:50:10.584960,-971.1906256714167,-5335.687707011806,-4615.8829960880175,-1,-28.236239225581325
COSMOS 2251 DEB,1993-036X,2024-03-14T21:45:53.561952,-4956.680594396338,3089.043118464467,4095.61083755659,-1,-28.283378564186066
COSMOS 2251 DEB,1993-036Z,2024-03-14T22:27:34.994880,-5833.797374774676,230.46836869241966,-3907.958809813316,-1,-28.03324499008931
COSMOS 2251 DEB,1993-036AA,2024-03-14T20:36:35.873856,-6569.627223959186,1147.54907775616,-2440.2709716695335,-1,-28.326414271518665
COSMOS 2251 DEB,1993-036AE,2024-03-15T02:05:55.730976,-3486.0632496153985,-1991.520137020216,6315.109885880216,-1,-28.066662394505087
COSMOS 2251 DEB,1993-036AG,2024-03-14T12:05:52.092960,-1266.434951972908,-4645.337596005511,5246.273469067024,4,-28.098877726236367
COSMOS 2251 DEB,1993-036AH,2024-03-15T01:05:05.158176,-2182.739520246426,-7002.290178652052,108.51962272257576,-1,-28.279370491508665
COSMOS 2251 DEB,1993-036AJ,2024-03-14T20:01:26.110272,-7025.306389889796,-1576.1595531580879,521.0749414738069,-1,-28.885547181605073
COSMOS 2251 DEB,1993-036AL,2024-03-14T22:56:12.437664,2699.0879213594026,781.2793044004165,6375.446564011898,1,-27.40507106768428
COSMOS 2251 DEB,1993-036AN,2024-03-14T16:30:50.370336,3336.263669591107,-1545.5394856089683,-6110.637682649219,5,-27.650869742097896
COSMOS 2251 DEB,1993-036AP,2024-03-14T21:59:40.181856,5894.211789431155,3609.9003396667003,-1667.898687177572,6,-27.619820457394948
COSMOS 2251 DEB,1993-036AQ,2024-03-14T21:33:54.559296,660.3032023895042,-1823.8687120540662,6775.0438858867965,1,-27.1915349913662
COSMOS 2251 DEB,1993-036AW,2024-03-14T10:40:41.570976,-813.4900573754687,1937.3784125771035,6734.847550251839,1,-27.272805503610577
COSMOS 2251 DEB,1993-036AX,2024-03-15T02:11:47.041152,747.6759344372607,6387.4246110261,-2531.2582056497226,-1,-28.568574840205866
COSMOS 2251 DEB,1993-036BC,2024-03-15T04:36:30.808800,3416.1302491520637,-6124.261216093719,-750.113453669865,7,-28.52158197762901
COSMOS 2251 DEB,1993-036BE,2024-03-14T16:26:17.644416,-94.36822135572235,3780.4169468915698,-5826.098188582337,-1,-27.858419597246904
COSMOS 2251 DEB,1993-036BG,2024-03-14T20:15:18.284832,-2596.5271476173134,4282.792692037761,4983.193808380445,-1,-27.740788089837938
COSMOS 2251 DEB,1993-036BH,2024-03-14T11:02:58.579872,-2136.5921444590354,-6832.445488170393,190.57394718966054,-1,-28.235803218181637
COSMOS 2251 DEB,1993-036BJ,2024-03-14T22:16:24.356352,-4289.571715803428,-935.264249352932,-5456.620233514759,-1,-28.018044206362735
COSMOS 2251 DEB,1993-036BK,2024-03-14T21:40:57.399168,-5584.978129917744,2765.247296426075,-3225.2209457741383,-1,-28.144448749788506
COSMOS 2251 DEB,1993-036BL,2024-03-14T22:39:09.326880,452.2578507870609,-3396.421707304143,6362.598888089962,1,-27.658317778035755
COSMOS 2251 DEB,1993-036BN,2024-03-14T21:23:25.855872,-3141.770755835455,2916.8904122498147,5430.883889879397,-1,-27.745122060888367
COSMOS 2251 DEB,1993-036BP,2024-03-14T15:55:54.899904,-4394.21262204104,-3100.948932257646,4668.441549793179,-1,-28.145855002106313
COSMOS 2251 DEB,1993-036BQ,2024-03-14T10:12:21.231936,2556.6334827511623,-3336.7075009416594,5966.841123240481,1,-27.838064053353893
COSMOS 2251 DEB,1993-036BR,2024-03-14T22:47:39.109344,-2821.507864931791,-6291.691122082373,-1283.0780879507104,32,-27.9549016041409
COSMOS 2251 DEB,1993-036BS,2024-03-14T09:58:56.644032,-5435.587857199664,4531.211117205178,709.6127644703727,-1,-28.70837943815486
COSMOS 2251 DEB,1993-036BT,2024-03-14T16:28:33.337344,-2334.4886488414218,5725.602900287831,-3433.014425180713,-1,-28.486482446535494
COSMOS 2251 DEB,1993-036BV,2024-03-14T20:05:58.273728,4252.519852689884,-5755.140502995622,240.9052674369263,-1,-28.741307558346342
COSMOS 2251 DEB,1993-036BX,2024-03-15T05:41:44.291616,5457.98473852389,-1843.7015883616673,-4044.1217208836097,16,-28.0591831043076
COSMOS 2251 DEB,1993-036BZ,2024-03-15T04:46:53.845248,-1039.8020325299165,4784.698658165463,5116.637218402497,8,-27.526076694313875
COSMOS 2251 DEB,1993-036CB,2024-03-14T20:41:00.621600,-5462.649568646967,-2039.6235683752814,3772.5134600976407,9,-28.038590140169266
COSMOS 2251 DEB,1993-036CC,2024-03-14T21:41:05.978688,5599.527172213969,339.8919825261188,4342.247292026806,14,-27.719696156662863
COSMOS 2251 DEB,1993-036CD,2024-03-14T21:47:03.878592,2122.4274225595354,2909.7491425826197,6046.253381127854,1,-27.82387969660962
COSMOS 2251 DEB,1993-036CE,2024-03-14T17:27:20.684736,-2054.0355621353556,3942.046745732873,-5586.263739036455,10,-28.024866555862
COSMOS 2251 DEB,1993-036CF,2024-03-14T22:23:35.823264,4038.321841539432,5242.883008080381,-2615.972301470253,-1,-28.289657093281058
COSMOS 2251 DEB,1993-036CG,2024-03-14T20:11:44.500992,484.1178599810374,-3166.458520585168,-6281.351272311721,-1,-27.797787120079384
COSMOS 2251 DEB,1993-036CJ,2024-03-14T23:02:54.555360,-5430.3148928828805,3384.9487494792875,3166.5604692747906,-1,-28.347825757005268
COSMOS 2251 DEB,1993-036CK,2024-03-14T18:18:32.230656,-1258.205730702952,-2432.3045859711247,-6604.003211925171,2,-27.404029041430135
COSMOS 2251 DEB,1993-036CL,2024-03-15T03:41:38.182560,-291.3884195944176,2934.11975839189,6309.8061651495445,-1,-27.379589797257964
COSMOS 2251 DEB,1993-036CM,2024-03-14T12:59:38.598144,1701.5434501534173,-6788.457673269277,-1546.334056398289,11,-28.309354514817773
COSMOS 2251 DEB,1993-036CR,2024-03-14T11:29:23.848800,-3481.9081787097352,-6177.5177144927,961.3584189418146,22,-28.060214678591592
