OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z,Cluster,Density
IRIDIUM 33,1997-051C,2024-06-01T10:32:25.639296,2359.57895142552,-2988.363926424732,6056.73630144061,0,-27.896630994360923
IRIDIUM 33 DEB,1997-051L,2024-06-01T10:26:48.376032,314.907602280721,369.52534722988327,7110.860742231455,1,-27.297312913744296
IRIDIUM 33 DEB,1997-051N,2024-06-01T10:59:03.546816,1900.2441113081659,-5075.614929163394,4660.983424175396,0,-28.14800330177991
IRIDIUM 33 DEB,1997-051P,2024-06-01T12:44:31.062048,4833.899414097007,-4611.380104406591,2569.157511912406,-1,-29.012003218858155
IRIDIUM 33 DEB,1997-051Q,2024-06-01T08:36:26.799264,-442.580984102174,5896.437432592165,3954.721604838764,1,-27.56436643244708
IRIDIUM 33 DEB,1997-051T,2024-06-01T08:42:06.802272,163.7420807149113,6822.011723688831,2081.6834096396565,1,-27.670860947582696
IRIDIUM 33 DEB,1997-051W,2024-06-01T12:39:21.081312,-3685.5930696759488,-4493.956382715011,-4678.304186657516,-1,-28.61420103271419
IRIDIUM 33 DEB,1997-051AC,2024-06-01T06:47:45.862944,835.4238223754654,5868.499575483921,-3836.95180846114,2,-28.097984548582673
IRIDIUM 33 DEB,1997-051AD,2024-06-01T08:50:25.725120,-146.54343276929714,6962.458939048631,1338.3157002727485,1,-27.955960519656387
IRIDIUM 33 DEB,1997-051AF,2024-06-01T10:19:58.141056,-1366.4189875776904,5506.039375262362,-4196.542799060716,2,-27.923328252711315
IRIDIUM 33 DEB,1997-051AH,2024-06-01T13:59:21.439392,5250.603319753631,424.9014831773357,-4667.478244489948,-1,-29.01348217599449
IRIDIUM 33 DEB,1997-051AK,2024-06-01T12:42:06.342048,6068.836977222184,-3828.0331726646727,-1240.0590932204236,-1,-29.1594545854545
IRIDIUM 33 DEB,1997-051AL,2024-06-01T07:16:50.665152,2139.3462059160593,5142.636731425409,4269.318801607973,1,-27.478111000870694
IRIDIUM 33 DEB,1997-051AP,2024-06-01T09:46:17.442048,721.1755102206039,-2382.19862525086,-6687.398641002774,3,-27.680103864377358
IRIDIUM 33 DEB,1997-051AS,2024-06-01T13:45:55.666944,4770.633194479415,3842.846387483945,-3178.0757243752664,-1,-28.40769159467464
IRIDIUM 33 DEB,1997-051AT,2024-06-01T07:20:40.237728,1078.759619074007,4695.558834346705,5178.424678975913,1,-27.477270958308637
IRIDIUM 33 DEB,1997-051BA,2024-06-01T13:15:31.166784,-1635.225894380456,-47.69233248783761,-6915.722694835415,3,-27.560069688577048
IRIDIUM 33 DEB,1997-051BD,2024-06-01T08:59:59.413344,1444.4693951860186,6233.7801566544085,2999.2756546604464,1,-27.501681431830225
IRIDIUM 33 DEB,1997-051BF,2024-06-01T11:45:08.354592,-3012.109039303863,4220.189968194592,-4930.952747710857,2,-28.258947731341717
IRIDIUM 33 DEB,1997-051BG,2024-06-01T07:10:29.009568,2251.0339022862813,3749.8538707837465,5652.46102532725,1,-27.58523733569225
IRIDIUM 33 DEB,1997-051BH,2024-06-01T06:45:07.689600,-1793.9458364233722,-3426.4790533543214,-5822.2954747598305,3,-27.950908026753186
IRIDIUM 33 DEB,1997-051BM,2024-06-01T13:58:28.188480,5855.027054721901,3244.531374280979,1620.5438761860535,-1,-28.856430443888684
IRIDIUM 33 DEB,1997-051BN,2024-06-01T10:25:09.353856,-2778.884157091225,6351.352667179884,1538.3508013341423,-1,-28.713052192018193
IRIDIUM 33 DEB,1997-051BU,2024-06-01T09:49:14.375424,4.148193445165832,-855.6346380004737,-6993.16777727255,3,-27.235267296849365
IRIDIUM 33 DEB,1997-051BV,2024-06-01T02:24:01.239840,5798.815461576943,473.87595369698477,4011.3196725580788,-1,-28.834304256578122
IRIDIUM 33 DEB,1997-051CA,2024-06-01T06:28:57.110880,-3346.902163058197,-5292.435395973117,-3168.140051039425,-1,-28.677499579115953
IRIDIUM 33 DEB,1997-051CB,2024-06-01T10:08:18.775392,-1485.619445290308,4230.307350324492,-5535.6006614827875,2,-27.783818260332676
IRIDIUM 33 DEB,1997-051CE,2024-06-01T07:45:42.237792,-1273.1343197886565,-5348.847954693604,-4546.703189892587,3,-28.357482101284234
IRIDIUM 33 DEB,1997-051CL,2024-06-01T10:04:21.374976,-1539.8813129613736,2358.217966352354,-6535.665995996796,2,-27.907232752564852
IRIDIUM 33 DEB,1997-051CN,2024-06-01T06:57:28.323360,407.17810749345637,3848.9966821470657,-5926.489341016431,2,-27.822913553286398
IRIDIUM 33 DEB,1997-051CV,2024-06-01T08:45:11.693952,-1424.7243504543699,5417.850947948161,-4275.695679494628,2,-27.899055849678387
IRIDIUM 33 DEB,1997-051CX,2024-06-01T10:16:50.334240,-1113.8220833534633,3973.200528208771,-5756.4387551446,2,-27.76777340427326
IRIDIUM 33 DEB,1997-051DA,2024-06-01T11:42:26.227584,-4973.162766301263,4921.166608673013,-1455.8162466447552,-1,-29.27779697676468
IRIDIUM 33 DEB,1997-051DG,2024-06-01T06:03:30.598272,-976.6433075478932,-1071.5505759172213,-7040.631929702191,3,-27.349403377421808
IRIDIUM 33 DEB,1997-051DM,2024-06-01T14:10:18.911424,123.34367117528758,437.19019882842053,7108.99321098902,1,-27.333207509650407
IRIDIUM 33 DEB,1997-051DR,2024-06-01T06:04:57.465696,1864.9406999548778,1710.119267170607,6539.250289830867,1,-27.42856207325672
IRIDIUM 33 DEB,1997-051DS,2024-06-01T14:54:02.786976,-3380.774459263449,-5963.430859588304,1377.0019493828254,-1,-28.414309295071813
IRIDIUM 33 DEB,1997-051DY,2024-06-01T05:08:46.370112,4439.923552823126,3329.35004951892,4439.451070678471,6,-28.029664574926723
IRIDIUM 33 DEB,1997-051DZ,2024-06-01T07:20:27.613824,2208.4345107172376,2459.663478618646,6332.614026766881,1,-27.56605287665547
IRIDIUM 33 DEB,1997-051EN,2024-06-01T10:06:42.708096,-1545.860537937142,6201.3380659148725,3248.677722647313,1,-27.931251070188555
IRIDIUM 33 DEB,1997-051ES,2024-06-01T07:36:02.544768,-1353.5227723216758,-3735.0436441391207,5923.846157224037,0,-28.148754299467363
