OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z
HBTSS-SV2,2024-028A,2024-03-14T20:49:05.202912,6651.1291745402095,479.2046588212777,3135.045203885139
RAPTOR4,2024-028B,2024-03-14T20:47:39.831936,6735.227281142721,1062.264739017459,2793.3482933076907
RAPTOR1,2024-028C,2024-03-14T20:46:13.850112,6761.567992630119,1644.2451346237267,2423.220514935933
RAPTOR3,2024-028D,2024-03-14T22:29:38.631552,6724.164442458354,2253.166254799858,2001.0398758936876
RAPTOR2,2024-028E,2024-03-14T20:43:13.249056,6624.874938777904,2812.3164433229986,1580.6082752929087
HBTSS-SV1,2024-028F,2024-03-14T20:40:20.704800,6254.182889608807,3829.4597261089903,715.5360619382618
PROGRESS-MS 26,2024-029A,2024-03-14T10:46:18.676128,-719.0708888980636,-5563.164842580045,-3847.8736035368493
STARLINK-31373,2024-031A,2024-03-15T04:15:41.347296,4536.059774191977,-527.2750944005942,-5126.811200812856
STARLINK-31449,2024-031B,2024-03-15T04:15:12.681504,4612.9742416382105,-368.73544286074565,-5071.860729731485
STARLINK-31314,2024-031C,2024-03-15T04:08:57.470496,5364.022443388314,2181.1672335194526,-3686.099874249599
STARLINK-31356,2024-031D,2024-03-15T04:42:01.332864,-3700.4640952837544,-5679.876935696224,-1061.5627197646802
STARLINK-31335,2024-031E,2024-03-15T04:02:14.757504,5114.858714483157,4265.355371234363,-1658.2860677783794
STARLINK-31368,2024-031F,2024-03-12T05:23:18.532320,4944.72770401653,4605.28092177041,-1192.7122804586513
STARLINK-31333,2024-031G,2024-03-15T03:55:28.907328,3876.8945162337777,5608.160974617225,763.0298614336509
STARLINK-31351,2024-031H,2024-03-15T03:55:00.070464,3755.277155668956,5663.569432033713,935.3686489337842
STARLINK-31365,2024-031J,2024-03-12T06:44:00.694176,1670.8972102415057,5817.977225869023,3220.306535938393
STARLINK-31361,2024-031K,2024-03-15T05:22:56.970336,1910.1396756454883,5857.619761490604,3006.8742200194106
STARLINK-31369,2024-031L,2024-03-15T06:00:00.999648,-480.16828768139374,4958.311342032841,4706.7604236164625
STARLINK-31324,2024-031M,2024-03-12T09:45:40.766112,-1209.8213003123226,4473.320906596792,5046.232393753803
STARLINK-31358,2024-031N,2024-03-14T11:45:36.487296,4323.603669410495,-973.1898500365974,-5181.778687748368
STARLINK-31355,2024-031P,2024-03-15T05:08:58.755552,-3011.0625494958367,2803.272798721798,5478.47394515726
STARLINK-31380,2024-031Q,2024-03-15T05:02:42.347040,-4567.361815856677,466.0137695423257,5086.278007649555
STARLINK-31353,2024-031R,2024-03-12T14:08:29.304384,-1264.2827810580175,4453.622101079828,5084.439367377057
STARLINK-31339,2024-031S,2024-03-15T05:02:14.466624,-4672.679756347883,244.76910371882695,5005.474104504179
STARLINK-31360,2024-031T,2024-03-12T12:33:50.823360,-1178.9368061770253,4518.261954161339,5051.272294311943
STARLINK-31384,2024-031U,2024-03-15T04:49:14.037888,-5104.837261270797,-4304.334973591383,1559.5972731023667
STARLINK-31379,2024-031V,2024-03-15T04:48:44.851968,-5034.961699938594,-4452.438049074371,1360.926979502946
STARLINK-31385,2024-031W,2024-03-15T04:57:14.526432,2998.659012075147,-2784.865421207019,-5458.815665575276
STARLINK-31229,2024-031X,2024-03-15T04:42:29.790432,-3858.841365773777,-5611.437830394217,-841.0323536260789
CE-SAT-IE,2024-032A,2024-03-15T03:33:11.567520,-1069.3587802826464,-331.8854310374796,-6969.565679610183
2024-032B,2024-032B,2024-02-21T10:15:45.408096,-4986.329529524631,4722.090754841634,-1604.1079094671343
2024-032C,2024-032C,2024-03-15T04:37:22.555488,-2654.8140175771828,3768.070843407409,5327.229561203639
ADRAS-J,2024-034A,2024-03-15T04:29:27.703680,4339.161464819387,4996.138118446951,-2014.686816208916
ELECTRON KICK STAGE R/B,2024-034B,2024-03-14T21:38:30.820704,-841.1156665018123,-2257.432961649319,6513.1807178686895
AAC-AIS-SAT3,2023-174DJ,2024-03-14T18:50:02.717952,1560.2811045487651,198.60462557014137,6835.936661434561
STARLINK-31468,2024-036A,2024-03-14T20:17:43.691712,-6774.578165791493,-889.7205731861593,-605.9449892140692
STARLINK-31440,2024-036B,2024-03-15T04:00:00.999936,-5654.262862478432,1600.6864446123964,-3579.617925236121
STARLINK-31529,2024-036C,2024-03-14T22:00:00.999936,-6786.024355792712,-794.0156983072826,-736.1205084915822
STARLINK-31525,2024-036D,2024-03-12T22:00:00.999936,-2586.99980550535,-4158.677319278333,4772.166441951441
STARLINK-31431,2024-036E,2024-03-14T22:45:09.986400,1371.0126626750166,4218.006655645654,-5184.864829743766
STARLINK-31429,2024-036F,2024-03-13T06:00:00.999648,2046.5731903366807,-3695.701680849618,5362.27027270544
STARLINK-31435,2024-036G,2024-03-15T04:00:00.999936,-3558.402025192409,-3984.844091147162,4293.4432434796145
STARLINK-31484,2024-036H,2024-03-15T04:00:00.999936,-3372.638270276751,-4029.414466836725,4400.186925928748
STARLINK-31450,2024-036J,2024-03-15T04:00:00.999936,-428.62141040785485,-4201.444474802411,5388.25991143612
STARLINK-31456,2024-036K,2024-03-14T20:00:01.000224,-367.14766974217355,-4194.989793091145,5395.458986485283
STARLINK-31460,2024-036L,2024-03-14T22:45:50.636736,348.7800976304759,4172.014158774511,-5380.138157721588
STARLINK-31488,2024-036M,2024-03-14T22:00:00.999936,2730.3259107128492,-3459.721652635498,5228.390571018095
STARLINK-31528,2024-036N,2024-03-15T04:00:00.999936,4455.139541594324,-2570.7867971848377,4503.501256028038
STARLINK-31491,2024-036P,2024-03-15T04:00:00.999936,4247.682597960725,-2703.410477300027,4624.597530550706
STARLINK-31465,2024-036Q,2024-03-15T04:00:00.999936,6501.937924607309,-302.8769300683663,2046.3630735176473
STARLINK-31389,2024-036R,2024-03-15T04:00:00.999936,6565.000120416234,-144.6694824213922,1854.5235240708619
STARLINK-31454,2024-036S,2024-03-14T22:00:00.999936,6708.078218683113,1187.2237572652725,140.71153037258813
STARLINK-31521,2024-036T,2024-03-15T04:00:00.999936,6667.64300874444,1394.2291803636099,-141.71627436595975
STARLINK-31526,2024-036U,2024-03-12T22:00:00.999936,6608.025792212826,1428.9160937562579,-537.2725947594018
STARLINK-31406,2024-036V,2024-03-14T22:00:00.999936,6597.671470646335,1636.0713814770027,-477.1377654799678
STARLINK-31527,2024-036W,2024-03-15T04:00:00.999936,4027.384986108839,3827.5507043127654,-4004.2080578478267
STARLINK-31436,2024-036X,2024-03-14T22:00:00.999936,6531.58789829237,1808.2676834639003,-720.1835489510612
STARLINK-30996,2024-038A,2024-03-15T06:00:00.999648,-4171.965444610092,5258.7748040838105,-1088.4634924601105
STARLINK-31006,2024-038B,2024-03-14T22:00:00.999936,-178.3414190874441,-5521.179276333328,3889.1441104708288
STARLINK-31178,2024-038C,2024-03-15T06:00:00.999648,-4454.7434367843325,5077.280866284272,-786.0792692903639
STARLINK-31227,2024-038D,2024-03-15T06:00:00.999648,-4589.016765631285,4977.9859305448335,-633.2444874414756
STARLINK-30863,2024-038E,2024-03-15T06:00:00.999648,-4841.425965621486,4763.321088355545,-326.46934570720003
STARLINK-31206,2024-038F,2024-03-15T06:00:00.999648,1675.8818493367066,-5807.428699396196,2830.42130955647
STARLINK-31224,2024-038G,2024-03-15T06:00:00.999648,-4960.656495784064,4647.291567233523,-171.26717105295256
STARLINK-31186,2024-038H,2024-03-15T06:00:00.999648,-5074.739551201064,4525.587637931552,-15.338482087445175
STARLINK-31211,2024-038J,2024-03-15T06:00:00.999648,-5183.645289152752,4398.581163279149,141.03730588063746
STARLINK-30862,2024-038K,2024-03-14T22:00:00.999936,-3563.4117291320335,-3456.2037713347145,4614.059998392942
STARLINK-31210,2024-038L,2024-03-15T06:00:00.999648,-5379.294757938232,4134.267396170142,447.1921857948485
STARLINK-31231,2024-038M,2024-03-15T06:00:00.999648,-5470.480082005674,3992.999956530296,602.6689104898545
STARLINK-31207,2024-038N,2024-03-15T06:00:00.999648,-5554.516521955641,3848.0055559848315,756.2316889822986
STARLINK-31217,2024-038P,2024-03-14T22:00:00.999936,-5655.512697065264,3534.6525079033227,1133.4255258271162
STARLINK-31208,2024-038Q,2024-03-14T22:00:00.999936,-422.76988256480695,5694.591241566021,-3656.2762818688157
STARLINK-31235,2024-038R,2024-03-15T06:00:00.999648,-5826.842561297655,3229.488005098291,1357.744072552335
STARLINK-31220,2024-038S,2024-03-15T06:00:00.999648,-5767.7493184737805,3390.7887994807033,1208.3531730545917
STARLINK-31225,2024-038T,2024-03-15T06:00:00.999648,-5593.342296127555,-248.7646573030837,3699.85587182328
STARLINK-31240,2024-038U,2024-03-15T06:00:00.999648,-5924.50447962188,2898.14124626293,1650.0507016427407
STARLINK-31202,2024-038V,2024-03-15T06:00:00.999648,-5963.271876472924,2729.4664700021117,1791.9959392409821
STARLINK-31234,2024-038W,2024-03-15T06:00:00.999648,-6021.928006794188,2376.108370501208,2075.2953550529464
STARLINK-31153,2024-038X,2024-03-15T06:00:00.999648,-5996.025659318251,2553.672872770174,1935.1952961229113
STARLINK-31241,2024-038Y,2024-03-15T06:00:00.999648,-6040.865497553834,2197.746931953489,2211.6751474711823
STARLINK-31205,2024-038Z,2024-03-15T06:00:00.999648,-6053.233736313344,2016.6239079052366,2345.8883479392302
METEOR-M2 4,2024-039A,2024-03-15T05:08:13.619328,30.88983380639448,1456.2382303889588,-7057.44085015581
SITRO-AIS 29,2024-039B,2024-03-15T03:40:29.724384,5259.148479973818,4388.648278146489,748.136491917547
SITRO-AIS 30,2024-039C,2024-03-15T03:40:27.842592,5259.228214982211,4386.331577239292,761.2391748940742
SITRO-AIS 31,2024-039D,2024-03-15T03:39:28.628352,5241.489495016638,4281.462797803247,1287.2127308353772
SITRO-AIS 33,2024-039E,2024-03-15T03:38:08.977920,5170.251665975419,4105.400426630636,1962.2077040504046
SITRO-AIS 35,2024-039F,2024-03-15T03:37:09.266880,5082.551552547244,3946.702022310306,2451.0881215728923
SITRO-AIS 32,2024-039G,2024-03-15T03:37:57.731232,5156.936477473044,4079.1512138398625,2048.892347424903
SITRO-AIS 34,2024-039H,2024-03-15T03:37:42.689856,5135.040110787494,4038.1264142395817,2180.04102735672
SITRO-AIS 36,2024-039J,2024-03-15T03:36:11.768544,4968.956558738676,3770.351462072586,2913.620298287872
